name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Small Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro DSC,valk_dsc,2,,700,600,,25,,5,35,6,,,,KINETIC,20,,0,0.1667,1,0,0,7,3.5,14,,850,,,50,,,,"kinetic9,valk_enigma_bp",,Enigma Company,,Anti-Shield,,,,,"Deals bonus damage on shield impact if the target shield efficiency is below %s. The worse the shield efficiency, the higher the bonus, up to %s.",1 | 50%,,,,
IR-PD Point Defense Cannon,valk_irpdcannon,1,,150,250,,20,,0,75,2,,,,FRAGMENTATION,1,,0,0.1,1,0,1,8,1,8,,850,,,20,,,PD,"pd8,SR,valk_enigma_bp",,Enigma Company,,Point Defense,,,,,,,,,,
NX-K GR Flak Cannon,valk_nxk_pd,2,,300,450,,20,,1,40,6,,,,FRAGMENTATION,10,,0,0.8,5,0.05,4,16,2,4,,800,,,10,,,"PD, ANTI_FTR","pd10,valk_enigma_bp",,Enigma Company,,Area Point Defense,,,,,,,,,,
Light GR Lance,valk_lightlancer,2,,800,600,,50,50,1,20,6,,,,ENERGY,40,,0,2.4333,10,0.1,0,4,1,4,,1150,,,10,,,,"energy6,valk_enigma_bp",,Enigma Company,,General (Disabling),,,,,"On hit, applies %s stacks %s to the target. If the stack count exceeds %s, clears all stacks and releases a chain of shield-piercing arcs dealing roughly %s EMP total. Piercing chance scales with the target's hard flux.",GR Conduction | +1 | 15 | 1200,,,,
#Fighter-Mounted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTR-GT Hypervelocity Laser,valk_ptr_laser,1,,600,450,,60,,0,50,3,,,,ENERGY,55,,0.02,0.4,1,0.5,5,10,0.5,15,,1200,,,,,,"SYSTEM,SHOW_IN_CODEX",energy10,,Enigma Company,,General Purpose,,,,,,,,,,
IR Burst PD Laser,valk_irpdburst,1,,200,450,225,,,0,100,5,3,0.5,,ENERGY,,150,0.1,0.1,0.3,0.1,,,,,10000,,,,,,,"PD,SYSTEM,SHOW_IN_CODEX","energy4,pd8",,Enigma Company,,Point Defense,,,,,,,,,,
X-Ray Repeater,valk_xr_repeater,1,,800,500,,20,,0,50,6,,,,HIGH_EXPLOSIVE,20,,0.2,,1,0.05,8,14,0.5,15,,1200,,,,,,"SYSTEM,SHOW_IN_CODEX",he2,,Enigma Company,,Anti-Armor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Medium Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
