name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Recon System Enhancement,valk_reconoptimization,1,,Orken Manufacturing Group,engines,Scouting,5000,,,,8,0,0,0,data.hullmods.valk_ReconOptimization,"Switches the ship into reconnaissance configuration, increasing its %s sensor range and maneuverability at the cost of reducing all weapon damage by %s.

Can only be installed on frigates.",Improves mobility and reconnaissance at the cost of weapon damage.,,graphics/hullmods/valk_recon_optimization.png
Skogul Modernization Package,valk_skogulmodernization,2,,Orken Manufacturing Group,special,Systems,12000,,,,5,10,15,25,data.hullmods.valk_SkogulModernization,"Raises flux handling, hull endurance, speed, maneuvering, and weapon output. Increases supply use.",Improves ship performance at the cost of higher supply use.,"Performance bonus increased to %s; %s.",graphics/hullmods/valk_skogul_modernization.png
Ward Plating,valk_fluxplating,,,Orken Manufacturing Group,,Defensive,,,TRUE,,0,0,0,0,data.hullmods.valk_FluxPlating,"Electroplated super-capital armor greatly reduces EMP disruption.

EMP damage taken reduced by %s.",Greatly reduces EMP damage.,,graphics/hullmods/valk_em_ward_plating.png
Brynhildr Rotary Core,valk_bryncore,,,Orken Manufacturing Group,,Weapons,,,TRUE,,0,0,0,0,data.hullmods.valk_BrynCore,"Links Enigma Company mounts to Valkyrian flux conduits.

- Ballistic and energy weapon flux cost reduced by %s
- Enigma Company non-PD, non-missile weapon range increased by %s
- Enigma Company point-defense weapon range increased by 5%",Improves Enigma Company weapon integration without enhancing missile range.,,graphics/hullmods/valk_bryncore.png
Micro Rotary Core,valk_microbryncore,,,Orken Manufacturing Group,,Weapons,,,TRUE,,0,0,0,0,data.hullmods.valk_MicroBrynCore,"A miniaturized Brynhildr core.
- Ballistic and energy weapon OP costs are reduced by %s/%s/%s based on weapon size.
- Range of Valkyrian weapons increased by %s

Commonly installed on cruiser-sized and smaller warships.",Reduces weapon OP costs and improves Valkyrian weapon range.,,graphics/hullmods/valk_microbryncore.png
Valhalla Core,valk_valhallacore,,,Orken Manufacturing Group,,Systems,,,TRUE,,8,0,0,0,data.hullmods.valk_ValhallaCore,"Above %s flux, weapon damage rises by up to %s, but shield, armor, and hull damage taken rises by up to %s. Weapons, engines, and EMP-sensitive systems become more vulnerable.

At high flux, straight-line combat speed increases by up to %s.","Turns high flux into a dangerous offensive oath.",,graphics/hullmods/valk_valhallacore.png
Cruiser Hunter Suite,valk_cruiserhunter,,,Orken Manufacturing Group,,Weapons,,,TRUE,,0,0,0,0,data.hullmods.valk_CruiserHunter,"Fire-control hardware tuned for killing cruiser-scale targets.

Damage to cruisers increased by %s.
Damage to destroyers increased by %s.
Ballistic and energy weapon range increased by %s.",Specialized against cruisers.,,graphics/hullmods/valk_cruiserhunter.png
Orken Retrofit - Peak Fire,valk_peakfire,2,,Orken Manufacturing Group,offensive,Weapons,10000,,,,3,6,10,15,data.hullmods.valk_PeakFire,"Sustained non-missile, non-PD fire charges the matrix.
At maximum charge, ballistic and energy weapons gain %s rate of fire and flux-cost bonuses. Charge peaks after %s peak time spent firing, then decays at %s times the charge rate.",Sustained fire improves weapon tempo and efficiency.,Peak-time requirement reduced to %s of normal.,graphics/hullmods/valk_peakfire.png
Orken Retrofit - Flux Fog,valk_fluxfog,2,,Orken Manufacturing Group,special,Special,7500,,,,3,6,10,15,data.hullmods.valk_FluxFog,"Uses sustained high flux to harden the hull under stress.

After the ship spends cumulative time above %s flux totaling more than %s of peak operating time, it gains an additional %s armor and hull damage resistance.",Maintained high flux improves durability.,Peak-time requirement reduced to %s of normal.,graphics/hullmods/valk_fluxfog.png
Orken Retrofit - Redsteel Armor,valk_redarmor,2,,Orken Manufacturing Group,defensive,Special,8000,,,,3,6,10,15,data.hullmods.valk_RedArmor,"Armor hits feed emergency dissipation.

- Recent armor damage improves dissipation for %s second
- Bonus scales from %s to %s
- Maxes when one hit exceeds %s armor value
- If shields were down, also dissipates shield hard flux, up to %s",Improves high-flux combat resilience.,Flux dissipation bonus cap increased to %s.,graphics/hullmods/valk_redarmor.png
Holy Covenant Decisive Doctrine,valk_holycovenant,,,Orken Manufacturing Group,,Systems,,,TRUE,,0,0,0,0,data.hullmods.valk_HolyCovenant,"Valkyrian capitals project a capped command signal to allies within %s range, including themselves. Strength scales by DP or OP, fades with distance, and is weaker on non-Valkyrian hulls.",Valkyrian capitals coordinate nearby allies through capped command auras.,,graphics/hullmods/valk_holycovenant.png
Parting Love Letter,valk_yoshuraSkinLove,,,Orken Manufacturing Group,,Yoshura,,,TRUE,,0,0,0,0,data.hullmods.valk_YoshuraSkin,"This is love's final song.
This ship's ballistic weapon flux cost is reduced by %s.",Soul of Yoshura.,,graphics/hullmods/valk_yoshuralove.png
Irrefutable Break,valk_yoshuraSkinHate,,,Orken Manufacturing Group,,Yoshura,,,TRUE,,0,0,0,0,data.hullmods.valk_YoshuraSkin,"This is hatred's obituary.
This ship's ballistic weapon rate of fire is increased by %s.",Soul of Yoshura.,,graphics/hullmods/valk_yoshurahate.png
Burial Psalm,valk_yoshuraSkinNormal,,,Orken Manufacturing Group,,Yoshura,,,TRUE,,0,0,0,0,data.hullmods.valk_YoshuraSkin,"""If not for you...""
This ship's ballistic weapon flux cost is reduced by %s and ballistic weapon rate of fire is increased by %s.",Soul of Yoshura.,,graphics/hullmods/valk_yoshuranormal.png
,,,,,,,,,,,,,,,,,,,
