id,trigger,conditions,script,text,options,notes,Column 08
vft_findadmiralGreeting,PickGreeting,"$valkft_isAdmiral
$valkft_stage == 0","ShowPersonVisual
$talkedTo = true
Highlight ""Yoshura-class""","You open a comm channel and faintly hear soldiers reporting to a superior. When the image resolves, the woman before you is wearing a general's insignia.

""The truth,"" General $personName explains to your visible surprise, ""is that the previous target was eliminated for reasons unknown. Our current difficulty is an armament procurement project, a rather large order. By any means available to you, deliver three mothballed Yoshura-class capital ships to me. Are you interested?""

You consider the unusual commission carefully...","0:valkft_accept:Accept the commission
1:cutCommLink:""Forget it."" Cut the comm link",,
vft_findadmiralGreetingTalkedTo,PickGreeting,"$valkft_isAdmiral
$valkft_stage == 0
$talkedTo",ShowPersonVisual,"""Changed your mind?""

The general shows no impatience after opening the channel. If anything, she seems prepared to wait as long as necessary.","0:valkft_accept:Accept the commission
1:cutCommLink:""Forget it."" Cut the comm link",,
vft_findadmiralAccept,DialogOptionSelected,$option == valkft_accept,"CallEvent $valkft_eventRef nextStage
ShowDefaultVisual
EndConversation","""Good. I look forward to your report.""

The general allows herself a small look of relief, then cuts the channel.",,,
vft_findshipsGreeting,PickGreeting,"$valkft_isAdmiral
$valkft_stage == 1
CallEvent $valkft_eventRef checkCondition","ShowPersonVisual
SetEnabled valkft_delieverships $meetCondition","""Finished already?"" The general looks at you with mild surprise over the comm channel.","0:valkft_delieverships:""Yes.""
1:cutCommLink:""Not yet. Sorry to bother you."" Cut the comm link",,
vft_findshipsTalk0,DialogOptionSelected,$option == valkft_delieverships,$valk_talkStage = 1,"""Excellent work."" The aging general claps a hand on your shoulder.

""See that battlecruiser? The old thing is scheduled to be transferred to Enigma III Industrial Station for dismantling in half a month. Would you care to take a look?""","0:vft_continue:""It would be an honor.""",,
vft_findshipsTalk1,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 1",$valk_talkStage = 2,"You step onto a broad side deck. Dense turret clusters sit in rectangular groups near the centerline. This appears to be a Yoshura variant, though its distinctive paint scheme makes clear you have never seen a similar ship in port.

On the command room's long table sits a palm-sized holoprojector. The surrounding compartment is dark and powerless, yet the device continues to display the bust of a man.","0:vft_continue:""This man...""",,
vft_findshipsTalk2,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 2",$valk_talkStage = 3,"""Less a vessel of glory than a crystallized memory.""

The general mutters the words while walking ahead, then turns sharply. The cybernetic eye on her right side locks onto you.

""Your completed task was only a test. Before we reach the real matter, let us talk about something else.""

---- You follow the general through a long, dim maintenance conduit and out through starboard airlock A ----

The noon glare forces you to narrow your eyes. Her voice cuts through it: ""All Enigma witnessed our love. Neither of us was ready for separation, but the gender revolution had reached its turning point."" Her voice catches. ""He always...""",0:vft_continue:Continue,,
vft_findshipsTalk3,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 3",$valk_talkStage = 4,"""It was an external campaign, a large-scale struggle against the Hegemony. In the original plan, alongside full internal mobilization, the vultures of war were already circling. Two fleets crawled like beasts along the asteroid-strewn edge of the system for days, carefully turning their most aggressive formations toward each other. Fleet maneuvers on that scale were a spectacle even in this Sector. Detachments and scout wings stretched as far as three light-years.

""The first day went well. Battles ignited across four fronts, and the Hegemony vanguard took severe losses; one aviation battleship was nearly reduced to scrap.

""The second day began with a military mutiny. He led the defectors in an axial jump, seized a prototype Yoshura variant, and tore open the campaign from within.""","0:vft_continue:You cannot help leaning forward, eager to hear the rest.",,
vft_findshipsTalk4,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 4",$valk_talkStage = 5,"""After the battle, the traitors made no further move. They simply left the system. But the Valkyrians never stopped looking for them."" The general pauses, her expression unreadable.

""In truth, a report of possible fleet signatures in close orbit around a certain system stayed on my personal terminal until I retired from the front line. That is where he is hiding. If command learns of it, treason and a gallows await him.

""This must end, but I do not want him to die in humiliation. That is why I found you. You are the only captain I believe has both patience and strength enough to handle him quietly. When it is done, you may keep every prize.""",0:vft_continue:Ask for more information about him.,,
vft_findshipsTalk5,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 5","AddText ""- This choice has irreversible consequences. Choose carefully. -"" good","After a longer conversation, you learn that he was once the refit chief of the general's flagship, obsessed with modification to an almost unimaginable degree.

""What... do you think?"" the general asks, her voice trembling and distant.","0:vft_type_love:""Isn't this honored flagship covered in proof of his love for you?""
1:vft_type_hate:""Hatred cuts as deeply as love.""
2:vft_type_normal:""A fatal kind of foolishness, wasn't it?""",,
